    0 ns 1 0000 0000 1111 0
  110 ns 0 0000 0000 1111 0
   30 ns 0 0000 0000 1111 0                   -- First pixel should effectively start at 100 ns.
  600 ns 0 0000 0000 1111 1 1 1 0000 0000 0000   0  0 -- HSYNC goes low
   40 ns 0 0000 0000 1111 1 0 1 0000 0000 0000   0  0
 3800 ns 0 0000 0000 1111 1 0 1 0000 0000 0000   0  0
   40 ns 0 0000 0000 1111 1 1 1 0000 0000 0000   0  0
 1880 ns 0 0000 0000 1111 1 1 1 0000 0000 0000   0  0  -- End of back porch
   40 ns 0 0000 1111 0000 1 1 1 0000 0000 0000   0  0  -- End of first pixel
25560 ns 0 0000 1111 1111 1 1 1 0000 0000 0000 639  0  -- End of last pixel on line
  640 ns 0 0000 0000 1111 1 1 1 0000 0000 0000   0  0  -- End of front porch
 3840 ns 0 0000 0000 1111 1 0 1 0000 0000 0000   0  0  -- End of HSYNC
 1920 ns 0 0000 0000 1111 1 1 1 0000 0000 0000   0  0  -- End of back porch
25600 ns 0 0000 1111 1111 1 1 1 0000 0000 0000 639  0  -- End of last pixel on line
  256 us 0 0000 1111 1111 1 1 1 0000 0000 0000 639  0   -- Vert. front porch
64000 ns 0 0000 1111 1111 1 1 0 0000 0000 0000 639  0   -- VSYNC
  928 us 0 0000 1111 1111 1 1 0 0000 0000 0000 639  0   -- Vert. Back porch
   32 us 0 0000 1111 1111 1 1 0 0000 1111 1111 639  0   -- V Disp row one
   32 us 0 0000 1111 1111 1 1 0 0000 1111 1111 639  1   -- V Disp row one
15296 us 0 0000 1111 1111 1 1 0 0000 1111 1111 639  1   -- V Disp last row
16700 us 0 0000 1111 1010 1 1 0 0000 1111 1010 639  1   
